exp_id,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff,y_pred,y_label
641,0,0,0,0.0,0.0,-493,-2,-1,1,1
941,0,0,0,0.0,0.0,0,0,0,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
585,0,0,0,0.0,0.0,-1100,-1,-1,1,1
1071,1,1,442,221.0,73.66666666666667,442,1,1,1,1
941,0,0,0,0.0,0.0,-213,-1,-1,1,1
1091,0,0,0,0.0,0.0,-850,-1,-1,1,1
1071,1,1,606,151.5,60.6,366,0,0,1,1
1129,0,0,0,0.0,0.0,-296,-1,-1,1,1
1149,0,0,0,0.0,0.0,-527,-1,-1,1,1
941,0,0,0,0.0,0.0,-703,-2,-1,1,1
585,1,2,977,244.25,97.7,977,2,1,1,1
904,0,0,0,0.0,0.0,0,0,0,1,1
590,3,3,958,479.0,239.5,958,3,3,1,1
1011,1,1,549,549.0,183.0,340,0,0,1,1
1129,1,2,762,152.4,63.5,231,0,0,1,0
1144,1,1,221,221.0,73.66666666666667,-495,0,0,1,1
970,3,4,1287,643.5,183.8571428571429,96,1,1,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
941,0,0,0,0.0,0.0,-681,-2,-1,1,1
630,0,0,0,0.0,0.0,-1299,-2,-1,1,1
1014,1,2,958,479.0,159.66666666666666,-51,-1,-1,1,1
585,1,1,477,477.0,79.5,477,1,1,1,1
904,0,0,0,0.0,0.0,-460,-1,-1,1,1
585,1,2,1064,354.6666666666667,118.22222222222224,1064,2,1,1,1
904,1,1,203,101.5,25.375,-35,0,0,1,0
904,0,0,0,0.0,0.0,-291,-1,-1,1,1
1129,0,0,0,0.0,0.0,-247,-1,-1,1,1
1073,1,1,269,269.0,67.25,-2206,-3,-3,1,1
1074,1,1,204,68.0,20.4,-1077,-2,-1,1,1
598,1,1,979,979.0,244.75,289,-1,-1,1,1
1151,0,0,0,0.0,0.0,-206,-1,-1,1,0
630,0,0,0,0.0,0.0,0,0,0,1,1
1144,1,2,1125,562.5,187.5,1125,2,1,1,1
904,1,2,564,564.0,112.8,564,2,1,1,1
903,0,0,0,0.0,0.0,-530,-2,-2,1,1
1149,0,0,0,0.0,0.0,-824,-1,-1,1,1
1074,1,1,613,613.0,204.33333333333331,-159,-1,0,1,1
1014,0,0,0,0.0,0.0,-755,-2,-1,1,1
641,0,0,0,0.0,0.0,-611,-2,-1,1,1
970,1,1,593,593.0,98.83333333333331,-737,-2,0,1,1
1146,0,0,0,0.0,0.0,-778,-3,-1,1,1
1146,1,1,209,209.0,69.66666666666667,209,1,1,1,1
585,0,0,0,0.0,0.0,-206,-1,-1,1,1
970,1,2,1403,280.6,100.21428571428572,384,0,0,1,1
965,1,2,905,301.6666666666667,113.125,905,2,1,1,1
590,1,1,899,899.0,224.75,681,0,0,1,1
1149,1,1,214,107.0,30.571428571428573,-511,-1,0,1,1
590,4,5,1801,900.5,200.11111111111111,-111,0,1,1,1
941,1,1,468,468.0,117.0,261,0,0,1,1
641,1,1,234,234.0,78.0,234,1,1,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
598,0,0,0,0.0,0.0,0,0,0,1,1
590,1,1,429,143.0,53.625,-126,0,0,1,1
1149,1,1,670,670.0,335.0,454,0,0,1,1
970,3,3,1612,1612.0,403.0,264,-1,1,1,1
1144,1,1,277,277.0,69.25,-368,0,0,1,1
972,0,0,0,0.0,0.0,0,0,0,1,1
1151,1,3,652,163.0,65.2,652,3,1,1,1
641,0,0,0,0.0,0.0,-1634,-5,-3,1,1
972,0,0,0,0.0,0.0,0,0,0,1,1
585,0,0,0,0.0,0.0,-283,-1,-1,1,1
1145,1,1,306,306.0,153.0,306,1,1,1,1
1014,1,1,401,133.66666666666666,66.83333333333333,172,0,0,1,1
590,0,0,0,0.0,0.0,-382,-1,-1,1,1
1011,1,2,728,364.0,104.0,-127,1,0,1,1
630,1,2,914,457.0,130.57142857142858,914,2,1,1,1
972,1,1,478,478.0,239.0,-189,0,0,1,1
1011,1,2,990,990.0,330.0,990,2,1,1,1
630,1,1,370,370.0,185.0,0,0,0,1,1
941,0,0,0,0.0,0.0,-213,-1,-1,1,1
1149,0,0,0,0.0,0.0,0,0,0,1,1
598,1,1,224,224.0,74.66666666666667,224,1,1,1,1
1151,0,0,0,0.0,0.0,0,0,0,1,1
1071,1,2,833,416.5,104.125,477,1,0,1,1
1091,2,3,802,802.0,267.3333333333333,352,1,1,1,1
1071,1,1,297,297.0,148.5,-2174,-4,-3,1,1
1091,1,2,1107,1107.0,138.375,265,1,0,1,1
1074,4,5,1614,1614.0,403.5,1167,3,3,1,1
598,1,2,924,462.0,154.0,924,2,1,1,1
1073,2,2,590,590.0,590.0,-1028,-2,-2,1,1
970,1,2,604,604.0,201.33333333333331,604,2,1,1,1
1129,1,2,498,498.0,166.0,147,1,0,1,1
1072,1,1,465,155.0,38.75,61,0,0,1,1
1129,0,0,0,0.0,0.0,0,0,0,1,1
903,0,0,0,0.0,0.0,-647,-2,-1,1,1
904,1,1,467,116.75,46.7,223,0,0,1,1
1071,2,4,976,976.0,244.0,655,3,1,1,1
641,1,1,247,247.0,49.4,-239,0,0,1,1
1149,0,0,0,0.0,0.0,-828,-3,-1,1,1
972,1,1,216,216.0,43.2,-95,0,0,1,1
1072,0,0,0,0.0,0.0,-924,-2,-2,1,1
630,1,1,222,222.0,44.4,222,1,1,1,1
597,1,1,250,125.0,41.66666666666666,250,1,1,1,1
903,0,0,0,0.0,0.0,-598,-2,-1,1,1
1073,1,1,553,553.0,138.25,-255,-1,0,1,1
904,0,0,0,0.0,0.0,-355,-1,-1,1,1
904,0,0,0,0.0,0.0,-259,-1,-1,1,1
630,1,1,218,218.0,43.6,218,1,1,1,1
585,2,2,723,723.0,144.6,-104,0,1,1,1
904,2,2,432,432.0,144.0,-52,1,1,1,1
1071,0,0,0,0.0,0.0,0,0,0,1,1
1071,0,0,0,0.0,0.0,-211,-1,-1,1,1
1091,1,1,431,431.0,215.5,-474,0,0,1,1
903,0,0,0,0.0,0.0,-560,-1,-1,1,1
641,1,1,869,869.0,173.8,550,0,0,1,1
585,0,0,0,0.0,0.0,-783,-2,-2,1,1
1072,0,0,0,0.0,0.0,-559,-2,-1,1,1
970,1,3,896,224.0,89.6,896,3,1,1,1
970,1,1,206,206.0,41.2,206,1,1,1,1
1074,1,1,522,104.4,43.5,522,1,1,1,1
903,0,0,0,0.0,0.0,0,0,0,1,1
970,0,0,0,0.0,0.0,-348,-1,-1,1,1
590,0,0,0,0.0,0.0,0,0,0,1,1
1014,1,1,202,67.33333333333333,22.444444444444443,202,1,1,1,1
1149,0,0,0,0.0,0.0,0,0,0,1,1
585,0,0,0,0.0,0.0,-802,-2,-1,1,1
1149,0,0,0,0.0,0.0,0,0,0,1,1
1151,2,2,464,464.0,154.66666666666666,464,2,2,1,1
903,0,0,0,0.0,0.0,0,0,0,1,1
903,1,1,314,314.0,104.66666666666669,-566,-2,-2,1,1
630,1,2,631,631.0,90.14285714285714,29,1,0,1,1
972,1,1,248,248.0,41.333333333333336,-397,0,0,1,1
1072,1,1,443,443.0,221.5,443,1,1,1,1
1073,1,1,566,566.0,113.2,-145,0,0,1,1
1071,2,5,1498,499.3333333333333,187.25,1498,5,2,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
903,0,0,0,0.0,0.0,-601,-2,-1,1,1
941,0,0,0,0.0,0.0,-508,-1,-1,1,1
941,0,0,0,0.0,0.0,-639,-1,-1,1,1
598,0,0,0,0.0,0.0,-763,-2,-1,1,1
1144,1,2,622,622.0,124.4,-420,0,0,1,1
1151,0,0,0,0.0,0.0,-202,-1,-1,1,1
941,1,2,562,187.33333333333331,62.44444444444444,-178,1,0,1,1
1073,1,2,639,319.5,159.75,-961,0,0,1,1
1146,1,1,340,170.0,48.57142857142857,-656,-1,0,1,1
972,0,0,0,0.0,0.0,-565,-2,-1,1,1
1071,0,0,0,0.0,0.0,0,0,0,1,1
941,1,1,243,243.0,81.0,243,1,1,1,1
1151,0,0,0,0.0,0.0,0,0,0,1,1
965,0,0,0,0.0,0.0,0,0,0,1,1
1146,1,1,466,466.0,155.33333333333334,466,1,1,1,1
1144,0,0,0,0.0,0.0,-221,-1,-1,1,1
1146,0,0,0,0.0,0.0,0,0,0,1,1
1144,1,2,747,249.0,106.71428571428572,431,1,0,1,1
1011,1,1,524,262.0,58.22222222222222,524,1,1,1,1
1149,1,1,463,463.0,92.6,243,0,0,1,1
597,1,1,211,211.0,52.75,211,1,1,1,1
641,1,1,217,72.33333333333333,21.7,-187,0,0,1,1
597,1,1,567,567.0,189.0,567,1,1,1,1
1145,0,0,0,0.0,0.0,0,0,0,1,1
1011,1,1,680,340.0,85.0,680,1,1,1,1
1129,1,1,824,824.0,824.0,824,1,1,1,1
1014,1,1,325,162.5,54.16666666666666,62,0,0,1,1
585,1,1,225,225.0,75.0,-122,0,0,1,1
1149,1,1,495,495.0,99.0,495,1,1,1,1
903,0,0,0,0.0,0.0,-1379,-5,-2,1,1
904,0,0,0,0.0,0.0,-583,-1,-1,1,1
630,0,0,0,0.0,0.0,-226,-1,-1,1,1
1011,1,1,381,381.0,95.25,381,1,1,1,1
1074,2,4,1158,579.0,144.75,1158,4,2,1,1
965,0,0,0,0.0,0.0,-338,-1,-1,1,1
1073,1,1,1537,307.4,153.7,1537,1,1,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
1090,0,0,0,0.0,0.0,-334,-1,-1,1,1
641,0,0,0,0.0,0.0,0,0,0,1,1
1074,1,1,645,322.5,92.14285714285714,645,1,1,1,1
585,0,0,0,0.0,0.0,-347,-1,-1,1,1
1151,0,0,0,0.0,0.0,-234,-1,-1,1,1
641,1,3,638,127.6,53.16666666666666,86,2,0,1,1
1091,1,1,408,408.0,102.0,157,0,0,1,1
585,0,0,0,0.0,0.0,-477,-1,-1,1,1
1151,1,2,486,486.0,243.0,486,2,1,1,1
641,1,2,531,177.0,53.1,-237,0,-1,1,1
904,0,0,0,0.0,0.0,-350,-1,-1,1,1
1071,1,1,327,163.5,54.5,79,0,0,1,1
590,2,2,796,265.3333333333333,113.71428571428572,206,0,0,1,1
1144,0,0,0,0.0,0.0,0,0,0,1,1
1146,0,0,0,0.0,0.0,-369,-1,-1,1,1
1151,0,0,0,0.0,0.0,0,0,0,1,1
1090,1,1,203,203.0,50.75,-559,-1,0,1,1
1149,1,2,681,340.5,97.28571428571428,462,1,0,1,1
1129,1,2,527,527.0,87.83333333333333,315,1,0,1,1
1014,1,2,1044,1044.0,174.0,1044,2,1,1,1
903,1,1,224,112.0,24.88888888888889,-603,-1,-1,1,1
904,2,3,802,267.3333333333333,66.83333333333333,802,3,2,1,1
585,2,3,908,908.0,227.0,908,3,2,1,1
972,1,1,214,214.0,71.33333333333333,214,1,1,1,1
904,0,0,0,0.0,0.0,-382,-1,-1,1,1
904,0,0,0,0.0,0.0,-832,-2,-1,1,1
970,1,1,260,260.0,65.0,-879,-2,-1,1,1
1011,0,0,0,0.0,0.0,-336,-1,-1,1,1
1090,0,0,0,0.0,0.0,-275,-1,-1,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
630,1,1,502,502.0,125.5,502,1,1,1,1
965,1,2,733,366.5,104.71428571428572,521,1,0,1,1
1091,0,0,0,0.0,0.0,0,0,0,1,1
1074,2,2,1026,513.0,171.0,1026,2,2,1,1
585,0,0,0,0.0,0.0,0,0,0,1,1
1090,6,7,3605,3605.0,721.0,1335,3,3,1,1
1071,0,0,0,0.0,0.0,-1111,-3,-1,1,1
1011,0,0,0,0.0,0.0,0,0,0,1,1
1014,1,1,206,206.0,41.2,-159,0,0,1,1
1071,2,2,585,585.0,292.5,-1623,-2,0,1,1
1074,1,2,608,304.0,101.33333333333331,608,2,1,1,1
1146,1,2,640,213.33333333333331,71.11111111111111,145,0,0,1,1
1071,1,2,483,241.5,96.6,483,2,1,1,1
1072,2,3,877,877.0,219.25,877,3,2,1,1
630,1,2,774,154.8,77.4,774,2,1,1,1
965,0,0,0,0.0,0.0,0,0,0,1,1
1090,1,1,374,374.0,74.8,76,0,0,1,1
941,0,0,0,0.0,0.0,-981,-2,-1,1,1
597,1,1,380,380.0,190.0,-141,0,0,1,1
1014,1,2,636,212.0,63.6,339,1,0,1,1
970,1,1,436,436.0,218.0,436,1,1,1,1
1074,2,2,621,621.0,207.0,-1971,-2,-1,1,1
1151,0,0,0,0.0,0.0,-244,-1,-1,1,1
597,1,1,478,159.33333333333334,53.11111111111112,267,0,0,1,1
972,0,0,0,0.0,0.0,-1081,-1,-1,1,1
1073,0,0,0,0.0,0.0,-206,-1,-1,1,1
1072,0,0,0,0.0,0.0,0,0,0,1,1
970,2,2,520,520.0,173.33333333333334,152,1,1,1,1
903,0,0,0,0.0,0.0,0,0,0,1,1
1151,1,1,389,129.66666666666666,38.9,389,1,1,1,1
904,2,2,486,162.0,60.75,54,0,0,1,1
1072,0,0,0,0.0,0.0,0,0,0,1,1
1014,1,1,243,243.0,121.5,243,1,1,1,1
1014,0,0,0,0.0,0.0,-227,-1,-1,1,1
1071,0,0,0,0.0,0.0,0,0,0,1,1
597,0,0,0,0.0,0.0,-291,-1,-1,1,1
598,1,1,473,157.66666666666666,52.55555555555556,-682,-3,-2,1,1
1146,0,0,0,0.0,0.0,0,0,0,1,1
1090,3,4,1002,334.0,91.0909090909091,351,3,2,1,1
965,1,1,600,600.0,150.0,373,0,0,1,1
1146,1,1,213,71.0,35.5,-653,-2,0,1,1
941,1,1,225,225.0,32.142857142857146,-169,0,0,1,1
904,1,1,233,116.5,58.25,233,1,1,1,1
970,2,3,1194,1194.0,398.0,656,2,1,1,1
597,1,2,744,372.0,93.0,292,1,0,1,1
1071,1,1,848,848.0,282.6666666666667,-446,0,0,1,1
965,1,1,422,211.0,84.4,422,1,1,1,1
1074,2,2,739,147.8,61.583333333333336,460,1,1,1,1
1129,1,1,500,250.0,71.42857142857143,-134,-1,0,1,1
1090,1,2,442,221.0,55.25,-237,-1,-1,1,1
1071,0,0,0,0.0,0.0,-217,-1,-1,1,1
1145,1,1,255,255.0,63.75,-479,0,0,1,1
597,0,0,0,0.0,0.0,-222,-1,-1,1,1
965,0,0,0,0.0,0.0,0,0,0,1,1
590,1,1,319,319.0,106.33333333333331,84,0,0,1,1
1090,1,1,414,414.0,138.0,-1198,-1,0,1,1
598,0,0,0,0.0,0.0,-680,-1,-1,1,1
1072,2,2,723,723.0,241.0,0,0,0,1,1
1090,0,0,0,0.0,0.0,-222,-1,-1,1,1
972,1,1,368,122.66666666666669,40.888888888888886,-99,-1,0,1,1
1129,1,2,663,663.0,110.5,228,1,0,1,1
1149,2,2,418,418.0,139.33333333333334,418,2,2,1,1
598,1,2,1019,254.75,113.22222222222224,130,0,0,1,1
1073,0,0,0,0.0,0.0,-357,-1,-1,1,1
941,1,1,202,202.0,25.25,-32,0,0,1,1
1090,2,4,2942,1471.0,326.8888888888889,2187,2,0,0,0
904,1,1,205,41.0,15.76923076923077,-462,-1,0,1,1
598,1,3,1590,530.0,159.0,1166,2,0,1,1
630,1,1,679,679.0,226.33333333333331,679,1,1,1,1
1014,1,1,223,223.0,55.75,-427,-1,-1,1,1
1072,0,0,0,0.0,0.0,-499,-1,-1,1,1
1014,0,0,0,0.0,0.0,-215,-1,-1,1,1
1144,0,0,0,0.0,0.0,-254,-1,-1,1,1
585,2,2,1252,1252.0,626.0,812,1,1,1,1
630,2,10,3753,536.1428571428571,268.07142857142856,3753,10,2,0,0
1091,0,0,0,0.0,0.0,-2237,-2,-1,1,1
630,0,0,0,0.0,0.0,-292,-1,-1,1,1
641,0,0,0,0.0,0.0,-872,-2,-1,1,1
1011,1,1,224,112.0,32.0,-935,-1,0,1,1
1145,2,3,1036,1036.0,518.0,268,1,0,1,1
598,1,1,486,486.0,243.0,-202,-1,0,1,1
1146,0,0,0,0.0,0.0,0,0,0,1,1
590,3,5,1676,558.6666666666666,139.66666666666666,736,2,0,1,0
970,1,3,755,188.75,53.92857142857143,324,2,0,1,1
965,1,1,328,328.0,65.6,328,1,1,1,1
597,1,1,707,707.0,235.66666666666663,707,1,1,1,1
597,1,1,348,348.0,69.6,102,0,0,1,1
1014,1,1,297,148.5,42.42857142857143,81,0,0,1,1
904,0,0,0,0.0,0.0,-203,-1,-1,1,1
585,0,0,0,0.0,0.0,-200,-1,-1,1,1
1071,0,0,0,0.0,0.0,0,0,0,1,1
598,1,2,710,710.0,236.66666666666663,496,1,0,1,1
1149,1,1,222,222.0,111.0,-464,-1,0,1,1
641,1,1,229,114.5,32.714285714285715,229,1,1,1,1
1129,0,0,0,0.0,0.0,0,0,0,1,1
1144,1,3,1273,636.5,127.3,708,2,0,1,1
630,0,0,0,0.0,0.0,-289,-1,-1,1,1
598,1,2,1044,348.0,116.0,456,1,0,1,1
1149,0,0,0,0.0,0.0,0,0,0,1,1
630,1,2,1750,875.0,250.0,1750,2,1,1,1
1072,1,2,559,279.5,93.16666666666669,129,1,0,1,1
641,1,1,223,44.6,13.9375,-241,-1,0,1,1
1090,1,1,492,164.0,54.66666666666666,256,0,0,1,1
904,0,0,0,0.0,0.0,0,0,0,1,1
630,1,3,1279,255.8,85.26666666666667,1279,3,1,1,1
970,1,1,215,215.0,71.66666666666667,215,1,1,1,1
590,1,2,686,686.0,137.2,485,1,0,1,1
630,1,1,303,303.0,151.5,91,0,0,1,1
903,0,0,0,0.0,0.0,0,0,0,1,1
1145,0,0,0,0.0,0.0,0,0,0,1,1
1144,1,1,425,425.0,141.66666666666666,-161,-1,0,1,1
965,0,0,0,0.0,0.0,0,0,0,1,1
1144,0,0,0,0.0,0.0,0,0,0,1,1
904,1,1,222,222.0,37.0,-76,0,0,1,1
1011,0,0,0,0.0,0.0,-593,-1,-1,1,1
1146,0,0,0,0.0,0.0,0,0,0,1,1
1090,2,2,513,256.5,102.6,513,2,2,1,1
1145,1,1,497,497.0,248.5,125,0,0,1,1
1071,0,0,0,0.0,0.0,-602,-1,-1,1,1
1149,0,0,0,0.0,0.0,0,0,0,1,1
1145,1,1,218,109.0,36.333333333333336,-143,0,0,1,1
630,2,2,1145,1145.0,229.0,90,1,1,1,1
585,1,1,631,631.0,157.75,631,1,1,1,1
972,0,0,0,0.0,0.0,-799,-2,-1,1,1
585,0,0,0,0.0,0.0,0,0,0,1,1
965,0,0,0,0.0,0.0,0,0,0,1,1
1144,1,1,299,299.0,99.66666666666669,299,1,1,1,1
941,1,1,274,274.0,91.33333333333331,-77,0,0,1,1
1072,0,0,0,0.0,0.0,-236,-1,-1,1,1
904,0,0,0,0.0,0.0,0,0,0,1,1
1014,0,0,0,0.0,0.0,-224,-1,-1,1,1
1145,0,0,0,0.0,0.0,0,0,0,1,1
1151,0,0,0,0.0,0.0,-214,-1,-1,1,1
1011,0,0,0,0.0,0.0,-1082,-2,-1,1,1
1072,1,1,203,203.0,67.66666666666667,203,1,1,1,1
903,0,0,0,0.0,0.0,-479,-1,-1,1,1
590,1,1,606,606.0,303.0,606,1,1,1,1
1071,0,0,0,0.0,0.0,-264,-1,-1,1,1
1072,1,2,1037,345.6666666666667,94.27272727272728,159,0,0,1,1
1014,0,0,0,0.0,0.0,0,0,0,1,1
1071,1,2,621,621.0,207.0,-942,-1,0,1,1
1129,1,3,1111,370.3333333333333,123.44444444444444,880,2,0,1,1
641,0,0,0,0.0,0.0,-1002,-2,-1,1,1
641,0,0,0,0.0,0.0,0,0,0,1,1
585,0,0,0,0.0,0.0,-245,-1,-1,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
1011,0,0,0,0.0,0.0,-226,-1,-1,1,1
970,3,3,1302,1302.0,325.5,-1305,-4,-1,1,1
1151,1,1,240,240.0,80.0,-38,0,0,1,1
630,0,0,0,0.0,0.0,0,0,0,1,1
585,0,0,0,0.0,0.0,-445,-1,-1,1,1
1145,0,0,0,0.0,0.0,-214,-1,-1,1,1
1144,1,2,699,699.0,99.85714285714286,313,1,0,1,1
1149,1,1,204,51.0,22.666666666666668,-356,-1,0,1,1
1129,1,1,435,435.0,217.5,435,1,1,1,1
590,0,0,0,0.0,0.0,-202,-1,-1,1,1
1091,0,0,0,0.0,0.0,0,0,0,1,1
630,1,2,945,472.5,135.0,491,1,0,1,1
1074,1,1,497,497.0,165.66666666666666,-94,0,0,1,1
1011,1,1,362,362.0,72.4,127,0,0,1,1
1011,0,0,0,0.0,0.0,-308,-1,-1,1,1
1149,1,2,868,868.0,217.0,634,1,0,1,1
590,1,1,389,389.0,194.5,67,0,0,1,1
1151,0,0,0,0.0,0.0,-665,-2,-1,1,1
1144,2,2,454,454.0,227.0,234,1,1,1,1
585,0,0,0,0.0,0.0,-1074,-3,-1,1,1
1145,2,3,1233,411.0,154.125,1233,3,2,1,0
630,0,0,0,0.0,0.0,0,0,0,1,1
1145,0,0,0,0.0,0.0,-306,-1,-1,1,1
1074,0,0,0,0.0,0.0,-1191,-2,-2,1,1
904,0,0,0,0.0,0.0,-300,-1,-1,1,1
1090,1,1,213,213.0,106.5,-1166,-3,-2,1,1
1146,1,2,601,200.33333333333331,75.125,601,2,1,1,1
1011,1,2,599,199.66666666666663,54.45454545454545,337,1,0,1,1
1145,0,0,0,0.0,0.0,-217,-1,-1,1,1
1146,0,0,0,0.0,0.0,0,0,0,1,1
590,1,1,216,216.0,72.0,-198,0,0,1,1
1145,1,1,219,219.0,54.75,219,1,1,1,1
1073,0,0,0,0.0,0.0,-209,-1,-1,1,1
903,0,0,0,0.0,0.0,-1486,-3,-2,1,1
641,0,0,0,0.0,0.0,0,0,0,1,1
1072,0,0,0,0.0,0.0,-241,-1,-1,1,1
1144,1,1,951,317.0,135.85714285714286,225,-2,0,1,1
597,0,0,0,0.0,0.0,-318,-1,-1,1,1
598,1,1,800,200.0,80.0,593,0,0,1,0
965,3,3,1258,1258.0,314.5,615,1,1,1,1
972,0,0,0,0.0,0.0,-226,-1,-1,1,1
1149,1,1,603,603.0,150.75,177,-1,-1,1,1
970,3,4,1142,571.0,163.14285714285714,681,2,1,1,1
1091,1,1,221,221.0,110.5,-86,0,0,1,1
941,1,1,323,323.0,46.142857142857146,-359,0,0,1,1
1071,1,1,450,225.0,56.25,-526,-3,-1,1,1
970,0,0,0,0.0,0.0,-694,-1,-1,1,1
1146,0,0,0,0.0,0.0,0,0,0,1,1
1151,1,1,278,278.0,139.0,-21,0,0,1,1
1151,1,2,694,231.33333333333331,77.11111111111111,694,2,1,1,1
1011,0,0,0,0.0,0.0,-318,-1,-1,1,1
630,1,1,493,164.33333333333334,37.92307692307692,493,1,1,1,1
965,0,0,0,0.0,0.0,-1952,-5,-3,1,1
1149,0,0,0,0.0,0.0,0,0,0,1,1
1011,0,0,0,0.0,0.0,-220,-1,-1,1,1
1129,0,0,0,0.0,0.0,-710,-2,-2,1,1
1074,0,0,0,0.0,0.0,0,0,0,1,1
630,0,0,0,0.0,0.0,-790,-2,-1,1,1
1144,0,0,0,0.0,0.0,0,0,0,1,1
972,0,0,0,0.0,0.0,-649,-1,-1,1,1
972,1,1,216,108.0,30.857142857142858,216,1,1,1,1
1072,1,1,359,359.0,119.66666666666669,-190,-1,0,1,1
965,1,1,201,67.0,25.125,-366,-1,0,1,1
1071,0,0,0,0.0,0.0,-954,-2,-1,1,1
1014,1,1,459,459.0,229.5,246,0,0,1,1
1146,0,0,0,0.0,0.0,0,0,0,1,1
903,2,3,996,996.0,142.28571428571428,996,3,2,1,1
972,1,1,205,205.0,51.25,205,1,1,1,1
1129,1,1,216,216.0,72.0,-449,-1,-1,1,1
598,1,2,859,429.5,122.71428571428572,159,0,0,1,1
970,1,1,613,613.0,204.33333333333331,613,1,1,1,1
1014,1,2,497,124.25,49.7,278,1,0,1,1
1074,0,0,0,0.0,0.0,0,0,0,1,1
903,0,0,0,0.0,0.0,0,0,0,1,1
1071,0,0,0,0.0,0.0,-818,-3,-1,1,1
1144,1,2,1042,521.0,130.25,1042,2,1,1,1
965,1,1,458,458.0,229.0,-429,-1,0,1,1
1014,1,1,224,224.0,56.0,224,1,1,1,1
903,1,1,283,283.0,283.0,283,1,1,1,1
1074,0,0,0,0.0,0.0,0,0,0,1,1
